subj,correct,problemSize,format,truth,rt
5,1,Small,Digits,True,1044
5,1,Small,Digits,False,1202
5,1,Small,Digits,False,1273
5,1,Small,Digits,False,1224
5,1,Small,Digits,False,1415
5,1,Small,Digits,False,1208
5,1,Small,Digits,False,1453
5,1,Small,Digits,False,1127
5,1,Small,Digits,False,1879
5,1,Small,Digits,False,1200
5,1,Large,Digits,True,1434
5,1,Small,Digits,True,1000
5,1,Large,Digits,True,1065
5,1,Large,Digits,True,1037
5,1,Large,Digits,True,1514
5,0,Large,Digits,True,1179
5,1,Large,Digits,True,1264
5,1,Large,Digits,True,1270
5,1,Large,Digits,True,2075
5,1,Large,Digits,True,957
5,1,Large,Digits,False,1617
5,1,Large,Digits,False,1527
5,1,Small,Digits,True,1055
5,1,Large,Digits,False,2689
5,1,Large,Digits,False,2010
5,1,Large,Digits,False,2253
5,1,Large,Digits,False,2061
5,1,Large,Digits,False,1138
5,1,Large,Digits,False,1557
5,0,Large,Digits,False,1737
5,1,Small,Digits,True,1107
5,1,Small,Digits,True,1046
5,1,Small,Digits,True,1443
5,1,Small,Digits,True,1497
5,1,Small,Digits,True,954
5,1,Small,Digits,True,1226
5,1,Small,Digits,True,698
5,1,Small,Digits,False,1842
5,1,Small,Digits,False,1396
5,1,Small,Digits,False,1687
5,1,Small,Digits,False,1211
5,1,Small,Digits,False,1298
5,1,Small,Digits,False,1701
5,1,Small,Digits,False,1296
5,1,Small,Digits,False,1310
5,1,Small,Digits,False,1268
5,1,Large,Digits,True,874
5,1,Small,Digits,True,725
5,1,Large,Digits,True,1196
5,0,Large,Digits,True,1366
5,1,Large,Digits,True,1236
5,1,Large,Digits,True,810
5,1,Large,Digits,True,1647
5,1,Large,Digits,True,2597
5,1,Large,Digits,True,888
5,1,Large,Digits,True,2106
5,1,Large,Digits,False,1830
5,1,Large,Digits,False,2433
5,1,Small,Digits,True,696
5,1,Large,Digits,False,2158
5,1,Large,Digits,False,1210
5,0,Large,Digits,False,1403
5,1,Large,Digits,False,1804
5,1,Large,Digits,False,1843
5,1,Large,Digits,False,1559
5,1,Large,Digits,False,1385
5,1,Small,Digits,True,964
5,1,Small,Digits,True,911
5,1,Small,Digits,True,1268
5,1,Small,Digits,True,1056
5,1,Small,Digits,True,986
5,1,Small,Digits,True,810
5,1,Small,Digits,True,778
5,1,Small,Digits,False,879
5,1,Small,Digits,False,945
5,1,Small,Digits,False,1328
5,1,Small,Digits,False,1641
5,1,Small,Digits,False,1179
5,1,Small,Digits,False,1159
5,1,Small,Digits,False,1518
5,1,Small,Digits,False,1007
5,1,Small,Digits,False,1255
5,0,Large,Digits,True,1276
5,1,Small,Digits,True,729
5,1,Large,Digits,True,1562
5,1,Large,Digits,True,963
5,1,Large,Digits,True,708
5,1,Large,Digits,True,952
5,1,Large,Digits,True,2322
5,1,Large,Digits,True,1180
5,1,Large,Digits,True,1547
5,1,Large,Digits,True,811
5,1,Large,Digits,False,1864
5,1,Large,Digits,False,1815
5,1,Small,Digits,True,778
5,1,Large,Digits,False,2176
5,1,Large,Digits,False,1027
5,1,Large,Digits,False,1586
5,1,Large,Digits,False,1287
5,1,Large,Digits,False,1445
5,0,Large,Digits,False,1808
5,1,Large,Digits,False,1476
5,1,Small,Digits,True,775
5,1,Small,Digits,True,791
5,1,Small,Digits,True,1423
5,1,Small,Digits,True,1083
5,1,Small,Digits,True,1000
5,1,Small,Digits,True,961
5,1,Small,Digits,True,727
5,1,Small,Digits,False,1186
5,1,Small,Digits,False,1186
5,1,Small,Digits,False,1449
5,1,Small,Digits,False,1472
5,1,Small,Digits,False,1174
5,1,Small,Digits,False,957
5,1,Small,Digits,False,1480
5,0,Small,Digits,False,1409
5,1,Small,Digits,False,1121
5,1,Large,Digits,True,1143
5,1,Small,Digits,True,850
5,0,Large,Digits,True,1488
5,1,Large,Digits,True,878
5,1,Large,Digits,True,1486
5,0,Large,Digits,True,1681
5,0,Large,Digits,True,1533
5,1,Large,Digits,True,1297
5,1,Large,Digits,True,1188
5,1,Large,Digits,True,1290
5,1,Large,Digits,False,1308
5,1,Large,Digits,False,1656
5,1,Small,Digits,True,969
5,1,Large,Digits,False,1227
5,1,Large,Digits,False,1252
5,1,Large,Digits,False,1973
5,1,Large,Digits,False,1713
5,1,Large,Digits,False,1134
5,1,Large,Digits,False,1064
5,1,Large,Digits,False,3597
5,1,Small,Digits,True,672
5,1,Small,Digits,True,1083
5,1,Small,Digits,True,803
5,1,Small,Digits,True,900
5,1,Small,Digits,True,913
5,1,Small,Digits,True,756
5,1,Small,Words,True,2243
5,1,Small,Words,False,2593
5,1,Small,Words,False,2013
5,1,Small,Words,False,2693
5,1,Small,Words,False,2162
5,1,Small,Words,False,1402
5,1,Small,Words,False,1427
5,1,Small,Words,False,2439
5,1,Small,Words,False,2150
5,1,Small,Words,False,1818
5,1,Large,Words,True,2497
5,1,Small,Words,True,1658
5,1,Large,Words,True,1622
5,1,Large,Words,True,1623
5,1,Large,Words,True,1562
5,1,Large,Words,True,2011
5,0,Large,Words,True,3684
5,1,Large,Words,True,1515
5,1,Large,Words,True,1407
5,1,Large,Words,True,1595
5,1,Large,Words,False,1511
5,1,Large,Words,False,2509
5,1,Small,Words,True,1190
5,1,Large,Words,False,1784
5,1,Large,Words,False,1661
5,1,Large,Words,False,4889
5,1,Large,Words,False,1364
5,1,Large,Words,False,2582
5,1,Large,Words,False,2677
5,1,Large,Words,False,1924
5,1,Small,Words,True,1523
5,0,Small,Words,True,2338
5,1,Small,Words,True,1351
5,1,Small,Words,True,1387
5,1,Small,Words,True,1611
5,1,Small,Words,True,1547
5,1,Small,Words,True,1733
5,1,Small,Words,False,1585
5,1,Small,Words,False,1483
5,1,Small,Words,False,3053
5,1,Small,Words,False,1641
5,1,Small,Words,False,2146
5,1,Small,Words,False,1868
5,1,Small,Words,False,1873
5,1,Small,Words,False,2181
5,1,Small,Words,False,1444
5,1,Large,Words,True,2396
5,1,Small,Words,True,2032
5,1,Large,Words,True,1709
5,1,Large,Words,True,2193
5,1,Large,Words,True,1584
5,1,Large,Words,True,1519
5,1,Large,Words,True,1570
5,1,Large,Words,True,1996
5,1,Large,Words,True,1274
5,1,Large,Words,True,1220
5,1,Large,Words,False,3641
5,1,Large,Words,False,5341
5,1,Small,Words,True,2292
5,1,Large,Words,False,1851
5,1,Large,Words,False,1961
5,1,Large,Words,False,1927
5,1,Large,Words,False,4174
5,1,Large,Words,False,3022
5,1,Large,Words,False,3349
5,1,Large,Words,False,1685
5,1,Small,Words,True,1180
5,1,Small,Words,True,2222
5,1,Small,Words,True,1578
5,1,Small,Words,True,1856
5,1,Small,Words,True,1395
5,1,Small,Words,True,2126
5,1,Small,Words,True,1137
5,1,Small,Words,False,1571
5,1,Small,Words,False,2129
5,1,Small,Words,False,3079
5,1,Small,Words,False,1454
5,1,Small,Words,False,2141
5,1,Small,Words,False,2955
5,1,Small,Words,False,1452
5,1,Small,Words,False,2006
5,1,Small,Words,False,3244
5,1,Large,Words,True,2291
5,1,Small,Words,True,1915
5,0,Large,Words,True,2002
5,1,Large,Words,True,2044
5,1,Large,Words,True,1834
5,1,Large,Words,True,1333
5,1,Large,Words,True,1533
5,1,Large,Words,True,2347
5,1,Large,Words,True,1574
5,1,Large,Words,True,1130
5,1,Large,Words,False,3983
5,1,Large,Words,False,2280
5,1,Small,Words,True,1222
5,1,Large,Words,False,1761
5,1,Large,Words,False,1587
5,1,Large,Words,False,1685
5,1,Large,Words,False,1569
5,1,Large,Words,False,1743
5,1,Large,Words,False,1488
5,1,Large,Words,False,1657
5,1,Small,Words,True,1363
5,1,Small,Words,True,1243
5,1,Small,Words,True,1243
5,1,Small,Words,True,3486
5,1,Small,Words,True,1340
5,1,Small,Words,True,1379
5,1,Small,Words,True,1354
5,1,Small,Words,False,2633
5,1,Small,Words,False,1389
5,1,Small,Words,False,1549
5,1,Small,Words,False,2617
5,1,Small,Words,False,2409
5,1,Small,Words,False,2243
5,1,Small,Words,False,2116
5,1,Small,Words,False,2029
5,1,Small,Words,False,1589
5,1,Large,Words,True,2616
5,1,Small,Words,True,1765
5,1,Large,Words,True,1126
5,1,Large,Words,True,2091
5,1,Large,Words,True,1943
5,1,Large,Words,True,1844
5,1,Large,Words,True,2452
5,1,Large,Words,True,1072
5,0,Large,Words,True,2602
5,1,Large,Words,True,1367
5,1,Large,Words,False,2099
5,1,Large,Words,False,2667
5,1,Small,Words,True,2073
5,1,Large,Words,False,2198
5,1,Large,Words,False,2492
5,1,Large,Words,False,2031
5,1,Large,Words,False,3730
5,1,Large,Words,False,2435
5,1,Large,Words,False,5103
5,1,Large,Words,False,2303
5,1,Small,Words,True,1457
5,1,Small,Words,True,3308
5,0,Small,Words,True,2137
5,1,Small,Words,True,1566
5,1,Small,Words,True,1974
5,0,Small,Words,True,5125
6,0,Small,Digits,True,1238
6,1,Small,Digits,False,1346
6,1,Small,Digits,False,1192
6,1,Small,Digits,False,1161
6,1,Small,Digits,False,1323
6,1,Small,Digits,False,1334
6,1,Small,Digits,False,1050
6,1,Small,Digits,False,2490
6,1,Small,Digits,False,4627
6,1,Small,Digits,False,1589
6,1,Large,Digits,True,2010
6,1,Small,Digits,True,1481
6,1,Large,Digits,True,869
6,1,Large,Digits,True,1733
6,1,Large,Digits,True,3593
6,1,Large,Digits,True,2234
6,1,Large,Digits,True,6708
6,1,Large,Digits,True,6253
6,1,Large,Digits,True,3894
6,1,Large,Digits,True,1166
6,1,Large,Digits,False,2482
6,1,Large,Digits,False,1883
6,1,Small,Digits,True,1176
6,1,Large,Digits,False,2662
6,1,Large,Digits,False,977
6,1,Large,Digits,False,5096
6,1,Large,Digits,False,1460
6,1,Large,Digits,False,1662
6,0,Large,Digits,False,2459
6,1,Large,Digits,False,1866
6,1,Small,Digits,True,1301
6,1,Small,Digits,True,1299
6,1,Small,Digits,True,1153
6,1,Small,Digits,True,1218
6,1,Small,Digits,True,1017
6,1,Small,Digits,True,1026
6,1,Small,Digits,True,876
6,1,Small,Digits,False,905
6,1,Small,Digits,False,1083
6,1,Small,Digits,False,1135
6,1,Small,Digits,False,1455
6,1,Small,Digits,False,1833
6,1,Small,Digits,False,1414
6,1,Small,Digits,False,834
6,1,Small,Digits,False,1621
6,1,Small,Digits,False,1654
6,1,Large,Digits,True,1206
6,1,Small,Digits,True,686
6,1,Large,Digits,True,1273
6,1,Large,Digits,True,2023
6,1,Large,Digits,True,972
6,1,Large,Digits,True,4120
6,1,Large,Digits,True,1610
6,1,Large,Digits,True,1337
6,1,Large,Digits,True,1095
6,1,Large,Digits,True,1861
6,1,Large,Digits,False,2931
6,1,Large,Digits,False,1196
6,1,Small,Digits,True,1135
6,1,Large,Digits,False,1122
6,1,Large,Digits,False,3849
6,1,Large,Digits,False,1880
6,1,Large,Digits,False,5160
6,1,Large,Digits,False,1033
6,1,Large,Digits,False,936
6,1,Large,Digits,False,3532
6,1,Small,Digits,True,873
6,1,Small,Digits,True,1125
6,1,Small,Digits,True,2739
6,1,Small,Digits,True,745
6,1,Small,Digits,True,1063
6,1,Small,Digits,True,1100
6,1,Small,Digits,True,904
6,1,Small,Digits,False,935
6,1,Small,Digits,False,748
6,1,Small,Digits,False,942
6,1,Small,Digits,False,1447
6,1,Small,Digits,False,881
6,1,Small,Digits,False,964
6,1,Small,Digits,False,1126
6,1,Small,Digits,False,1218
6,1,Small,Digits,False,1173
6,1,Large,Digits,True,1390
6,1,Small,Digits,True,753
6,1,Large,Digits,True,1424
6,1,Large,Digits,True,5191
6,1,Large,Digits,True,671
6,1,Large,Digits,True,1032
6,1,Large,Digits,True,5086
6,1,Large,Digits,True,4622
6,1,Large,Digits,True,1575
6,1,Large,Digits,True,1105
6,1,Large,Digits,False,958
6,1,Large,Digits,False,1137
6,1,Small,Digits,True,880
6,1,Large,Digits,False,1178
6,1,Large,Digits,False,1304
6,1,Large,Digits,False,1613
6,1,Large,Digits,False,885
6,1,Large,Digits,False,1612
6,1,Large,Digits,False,790
6,1,Large,Digits,False,1305
6,1,Small,Digits,True,983
6,1,Small,Digits,True,561
6,1,Small,Digits,True,1003
6,1,Small,Digits,True,736
6,1,Small,Digits,True,866
6,1,Small,Digits,True,898
6,1,Small,Digits,True,1466
6,1,Small,Digits,False,792
6,0,Small,Digits,False,1239
6,1,Small,Digits,False,1291
6,1,Small,Digits,False,981
6,1,Small,Digits,False,794
